scope,row_index,column,before,after,source
cell,6538,descrizione,n.d.,,nan_handler:placeholders
cell,6542,descrizione,//,,nan_handler:placeholders
cell,6551,descrizione,-,,nan_handler:placeholders
cell,6557,descrizione,n.d.,,nan_handler:placeholders
cell,6573,descrizione,n.d.,,nan_handler:placeholders
cell,6626,descrizione,n.d.,,nan_handler:placeholders
cell,6629,descrizione, ,,nan_handler:placeholders
cell,6650,descrizione,n.d.,,nan_handler:placeholders
cell,6680,descrizione,//,,nan_handler:placeholders
cell,6690,descrizione,unknown,,nan_handler:placeholders
cell,6708,descrizione,?,,nan_handler:placeholders
cell,6755,descrizione,//,,nan_handler:placeholders
cell,6768,descrizione,-,,nan_handler:placeholders
cell,6805,descrizione,unknown,,nan_handler:placeholders
cell,6854,descrizione,-,,nan_handler:placeholders
cell,6861,descrizione, ,,nan_handler:placeholders
cell,6872,descrizione, ,,nan_handler:placeholders
cell,6907,descrizione, ,,nan_handler:placeholders
cell,6948,descrizione,-,,nan_handler:placeholders
cell,6955,descrizione,?,,nan_handler:placeholders
cell,6967,descrizione,//,,nan_handler:placeholders
cell,6974,descrizione,?,,nan_handler:placeholders
cell,6992,descrizione,?,,nan_handler:placeholders
cell,7008,descrizione,?,,nan_handler:placeholders
cell,7021,descrizione,n.d.,,nan_handler:placeholders
cell,7067,descrizione,ND,,nan_handler:placeholders
cell,7102,descrizione,-,,nan_handler:placeholders
cell,7124,descrizione,ND,,nan_handler:placeholders
cell,7146,descrizione,?,,nan_handler:placeholders
cell,7169,descrizione,n.d.,,nan_handler:placeholders
cell,7202,descrizione,-,,nan_handler:placeholders
cell,7259,descrizione,n.d.,,nan_handler:placeholders
cell,7284,descrizione,unknown,,nan_handler:placeholders
cell,7325,descrizione,ND,,nan_handler:placeholders
cell,7353,descrizione,n.d.,,nan_handler:placeholders
cell,7354,descrizione,//,,nan_handler:placeholders
cell,7355,descrizione, ,,nan_handler:placeholders
cell,7377,descrizione,-,,nan_handler:placeholders
cell,7385,descrizione,?,,nan_handler:placeholders
cell,7411,descrizione,ND,,nan_handler:placeholders
cell,7432,descrizione, ,,nan_handler:placeholders
cell,7440,descrizione,ND,,nan_handler:placeholders
cell,7508,descrizione,?,,nan_handler:placeholders
cell,7528,descrizione, ,,nan_handler:placeholders
cell,7534,descrizione,?,,nan_handler:placeholders
cell,5,tipo_imposta,Da definire,,nan_handler:placeholders
cell,7330,tipo_imposta,Da definire,,nan_handler:placeholders
cell,46,cod_imposta,n.d.,,nan_handler:placeholders
cell,79,cod_imposta,n.d.,,nan_handler:placeholders
cell,138,cod_imposta,-,,nan_handler:placeholders
cell,317,cod_imposta,n.d.,,nan_handler:placeholders
cell,327,cod_imposta, ,,nan_handler:placeholders
cell,350,cod_imposta,ND,,nan_handler:placeholders
cell,351,cod_imposta,//,,nan_handler:placeholders
cell,467,cod_imposta,?,,nan_handler:placeholders
cell,615,cod_imposta,n.d.,,nan_handler:placeholders
cell,688,cod_imposta,//,,nan_handler:placeholders
cell,814,cod_imposta, ,,nan_handler:placeholders
cell,853,cod_imposta,n.d.,,nan_handler:placeholders
cell,863,cod_imposta,?,,nan_handler:placeholders
cell,865,cod_imposta,unknown,,nan_handler:placeholders
cell,866,cod_imposta,//,,nan_handler:placeholders
cell,875,cod_imposta,ND,,nan_handler:placeholders
cell,943,cod_imposta,n.d.,,nan_handler:placeholders
cell,1020,cod_imposta,n.d.,,nan_handler:placeholders
cell,1021,cod_imposta,n.d.,,nan_handler:placeholders
cell,1060,cod_imposta,n.d.,,nan_handler:placeholders
cell,1215,cod_imposta, ,,nan_handler:placeholders
cell,1217,cod_imposta, ,,nan_handler:placeholders
cell,1250,cod_imposta,?,,nan_handler:placeholders
cell,1259,cod_imposta,n.d.,,nan_handler:placeholders
cell,1279,cod_imposta,-,,nan_handler:placeholders
cell,1331,cod_imposta,unknown,,nan_handler:placeholders
cell,1359,cod_imposta,//,,nan_handler:placeholders
cell,1379,cod_imposta,-,,nan_handler:placeholders
cell,1402,cod_imposta,//,,nan_handler:placeholders
cell,1420,cod_imposta,//,,nan_handler:placeholders
cell,1519,cod_imposta,?,,nan_handler:placeholders
cell,1593,cod_imposta,//,,nan_handler:placeholders
cell,1629,cod_imposta, ,,nan_handler:placeholders
cell,1644,cod_imposta, ,,nan_handler:placeholders
cell,1650,cod_imposta,n.d.,,nan_handler:placeholders
