id,rata,descrizione,cod_tipoimposta,imposta,aggregation_time,area_geografica,tipo_imposta,spesa,cod_imposta,ente
6731590b5c833340b426aee1,202410,CORTE DEI CONTI,3,Previdenziali a carico del lavoratore,2024-11-11 02:00:28.485,Isole,Previdenziali,1505460.05,14,18
66e0ee64f458af5423ceb556,202408,MINISTERO DELLA DIFESA,3,Previdenziali a carico del lavoratore,2024-09-11 03:01:11.704,Centro,Previdenziali,66716019.32,14,3
668f34129b1c1405cffd2e2f,202406,AZIENDA SANITARIA LOCALE LATINA,3,Previdenziali a carico del datore di lavoro,2024-07-11 03:01:16.866,Nord,Previdenziali,3609319.02,13,930
671a780d568f1404768e2c27,202409,AGENZIA ITALIANA DEL FARMACO - AIFA,3,Previdenziali a carico del datore di lavoro,2024-10-24 00:00:00.000,Nord,Previdenziali,1275539.23,13,867
65c81f2c3f62191d310d64d1,202401,AGENZIA PER L'ITALIA DIGITALE,2,IRAP,2024-02-11 02:01:21.381,Centro,Erariali,42823.88,6,4056
671a7805568f1404768e2b50,202409,AGENZIA DEL DEMANIO,2,Addizionali Regionali,2024-10-24 18:30:35.560,Nord,Erariali,108066.79,7,8017
66e0ee5df458af5423ceb4f3,202408,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,2,Addizionali Regionali,2024-09-11 03:01:11.704,Isole,Erariali,347957.82,7,13
65ee5ac6eb0f334c5c367542,202402,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,4,Prestiti,2024-03-11 02:01:04.421,,Varie,94233.41,11,5
668f34079b1c1405cffd2d51,202406,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,2,IRAP,2024-07-11 03:01:16.866,Centro,Erariali,877450.26,6,5
671a780de28f8d6b0a19d241,202409,REGIONE LAZIO,2,IRAP,2024-10-24 18:30:35.560,Nord,Erariali,1205883.84,6,822
66bf604a0377f64b679f284c,202407,MINISTERO DELLA SALUTE,4,Ritenute Sindacali,2024-08-16 16:11:01.334,Nord,Varie,11424.41,10,10
668f34119b1c1405cffd2d95,202406,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,2,Addizionali Comunali,2024-07-11 03:01:16.866,Isole,Erariali,60312.44,8,6
66bf60530377f64b681b51c5,202407,COMUNE DI MERCATO SAN SEVERINO,3,Previdenziali a carico del lavoratore,2024-08-16 16:11:01.334,,Previdenziali,12186.33,14,829
668f34119b1c1405cffd2dbf,202406,ENTE PARCO NAZIONALE DELL'ALTA MURGIA,4,Ritenute Sindacali,2024-07-11 03:01:16.866,,Varie,73.89,10,894
659f417c9b1c14690c5c4208,202312,AGENZIA INDUSTRIE DIFESA AID,2,Addizionali Comunali,2024-01-11 02:01:40.336,,Erariali,397.8,8,974
661738e5262bc367a2350448,202403,ARCHIVI NOTARILI,4,Prestiti,2024-04-11 03:00:48.766,Isole,Varie,28851.26,11,25
66e0ee64f458af5423ceb564,202408,AUTORITA' DI BACINO DISTR. DELL'APPENNINO SETTENTRIONALE,4,Altre voci,2024-09-11 03:01:11.704,Centro,Varie,974.18,12,960
659f417b9b1c14690c5c41e0,202312,"MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE",2,Addizionali Comunali,2024-01-11 00:00:00.000,,Erariali,205.36,8,11
66e0ee65f458af54a5dbc859,202408,ARCHIVI NOTARILI,4,Riscatti,2024-09-11 03:01:11.704,Nord,Varie,1304.76,9,25
66bf60490377f64b681b50ed,202407,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,4,Ritenute Sindacali,2024-08-16 16:11:01.334,Centro,Varie,11861.25,10,28
66bf60530377f64b679f28f0,202407,AGENZIA NAZIONALE PER I GIOVANI - ANG,3,Previdenziali a carico del datore di lavoro,2024-08-16 16:11:01.334,,Previdenziali,19127.97,13,27
66e0ee66f458af5423ceb5fe,202408,COMUNE DI VASIA,3,Previdenziali a carico del lavoratore,2024-09-11 03:01:11.704,Nord,Previdenziali,753.73,14,973
671a7806e28f8d6b0a19d167,202409,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,3,Previdenziali a carico del datore di lavoro,2024-10-24 18:30:35.560,Sud,Previdenziali,3931510.78,13,7
659f417b9b1c14690c5c41d9,202312,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI,2,Addizionali Regionali,2024-01-11 00:00:00.000,,Erariali,65.04,7,868
66e0ee5bf458af54a5dbc774,202408,AUTORITA' DI BACINO DISTR. DELL'APPENNINO SETTENTRIONALE,3,Previdenziali a carico del datore di lavoro,2024-09-11 03:01:11.704,Sud,Previdenziali,42055.19,13,960
663ec5f23f62190222cfb5f1,202404,MINISTERO DELLA DIFESA,4,Ritenute Sindacali,2024-05-11 03:01:07.269,Centro,Varie,367945.23,10,3
671a7805568f1404768e2b84,202409,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,2,IRAP,2024-10-24 18:30:35.560,Centro,Erariali,16879.14,6,959
668f34129b1c1405cffd2e05,202406,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,3,Previdenziali a carico del datore di lavoro,2024-07-11 03:01:16.866,,Previdenziali,983839.55,13,8
66e0ee66f458af5423ceb5e2,202408,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,2,IRAP,2024-09-11 03:01:11.704,,Erariali,45374.37,6,950
663ec5f33f62190222cfb617,202404,COMUNE DI CAROSINO,3,Previdenziali a carico del datore di lavoro,2024-05-11 03:01:07.269,Sud,Previdenziali,10150.3,13,816
661738e49b1c14196e7da30f,202403,ISTITUTO SUPERIORE DI SANITA',4,Altre voci,2024-04-11 03:00:48.766,Nord,Varie,36462.05,12,32
65ee5ac7eb0f334c5c3675b4,202402,MINISTERO DELLA SALUTE,4,Ritenute Sindacali,2024-03-11 02:01:04.421,Centro,Varie,11366.73,10,10
66e0ee5df458af5423ceb51d,202408,COMUNE DI MERCATO SAN SEVERINO,3,Previdenziali a carico del lavoratore,2024-09-11 03:01:11.704,,Previdenziali,10091.29,14,829
661738e5262bc367a235041c,202403,MINISTERO DEL TURISMO,2,Addizionali Comunali,2024-04-11 03:00:48.766,Centro,Erariali,4505.78,8,44
671a780d568f1404768e2c35,202409,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,4,Ritenute Sindacali,2024-10-24 18:30:35.560,,Varie,406.44,10,16
65ee5ac7eb0f334c8d2b5b56,202402,COMUNE DI SERRENTI,2,IRAP,2024-03-11 02:01:04.421,Isole,Erariali,4781.63,6,977
6667a4b7262bc331bdcd0b8c,202405,MINISTERO DELLA DIFESA,4,Riscatti,2024-06-11 03:01:23.745,Sud,Varie,316434.51,9,3
65c81f2b3f62191d044e2ab7,202401,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,3,Previdenziali a carico del lavoratore,2024-02-11 02:01:21.381,Centro,Previdenziali,411300.76,14,6
65ee5ac7eb0f334c5c367549,202402,MINISTERO DELLA SALUTE,4,Riscatti,2024-03-11 02:01:04.421,Nord,Varie,4146.82,9,10
65c81f2c3f62191d310d650f,202401,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,3,Previdenziali a carico del datore di lavoro,2024-02-11 02:01:21.381,,Previdenziali,21178.93,13,925
668f34119b1c1405cffd2de5,202406,AUTORITA' UFFICIO PARLAMENTARE DI BILANCIO (UPB),2,Addizionali Regionali,2024-07-11 03:01:16.866,Isole,Erariali,9912.53,7,919
6731590b5c833340b426aed3,202410,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,4,Ritenute Sindacali,2024-11-11 02:00:28.485,Isole,Varie,2382.13,10,966
65c81f2b3f62191d044e2a6d,202401,COMUNE DI SERRENTI,4,Ritenute Sindacali,2024-02-11 02:01:21.381,Isole,Varie,23.68,10,977
6667a4b7262bc331baee7366,202405,ENTE STRUMENTALE ALLA CROCE ROSSA ITALIANA,2,IRPEF,2024-06-11 03:01:23.745,,Erariali,10424.15,5,898
659f417b9b1c1468e2e39a3f,202312,COMUNE DI VASIA,2,IRAP,2024-01-11 00:00:00.000,Isole,Erariali,1714.78,6,973
671a7806e28f8d6b0a19d182,202409,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,4,Prestiti,2024-10-24 18:30:35.560,,Varie,73131.0,11,6
668f34080377f62206882bc9,202406,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,2,Addizionali Regionali,2024-07-11 03:01:16.866,Nord,Erariali,2489.44,7,925
66e0ee64f458af54a5dbc7f3,202408,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI,2,Addizionali Regionali,2024-09-11 03:01:11.704,Nord,Erariali,9198.34,7,868
661738e49b1c14196e7da300,202403,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,2,Addizionali Comunali,2024-04-11 03:00:48.766,Nord,Erariali,6631.45,8,950
659f417c9b1c14690c5c422a,202312,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,4,Prestiti,2024-01-11 02:01:40.336,,Varie,3499877.78,11,2
66e0ee65f458af54a5dbc85e,202408,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,4,Ritenute Sindacali,2024-09-11 00:00:00.000,Isole,Varie,92544.76,10,2
668f34129b1c1405cffd2e0b,202406,ISPETTORATO NAZIONALE DEL LAVORO,4,Riscatti,2024-07-11 03:01:16.866,Isole,Varie,9628.89,9,954
659f41739b1c14690c5c41ac,202312,REGIONE LAZIO,2,Addizionali Comunali,2024-01-11 02:01:40.336,Nord,Erariali,3071.65,8,822
65c81f2b3f62191d310d6499,202401,COMUNE DI SERRENTI,1,Netto,2024-02-11 02:01:21.381,Sud,Netto,45101.37,15,977
66bf60520377f64b679f28d4,202407,COMUNE DI CORLETO MONFORTE,2,IRAP,2024-08-16 16:11:01.334,Centro,Erariali,2683.22,6,831
65c81f2b3f62191d044e2aea,202401,REGIONE LAZIO,2,Addizionali Regionali,2024-02-11 02:01:21.381,Sud,Erariali,14.95,7,822
65ee5ac7eb0f334c8d2b5b40,202402,PARCO DEL CIRCEO,2,IRAP,2024-03-11 02:01:04.421,Nord,Erariali,3062.37,6,970
663ec5f43f62190222cfb704,202404,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA,2,Addizionali Comunali,2024-05-11 03:01:07.269,Isole,Erariali,8279.99,8,23
668f34119b1c1405cffd2d8b,202406,ANVUR(AGENZIA NAZ.VALUTAZIONE SIST.UNIVERSITARIO E RICERCA),2,IRAP,2024-07-11 03:01:16.866,,Erariali,15578.56,6,843
6667a4c1262bc331baee7458,202405,COMUNE DI CARAVAGGIO,4,Riscatti,2024-06-11 03:01:23.745,Isole,Varie,95.6,9,964
671a780d568f1404768e2c01,202409,ARCHIVI NOTARILI,2,IRAP,2024-10-24 18:30:35.560,Sud,Erariali,81064.97,6,25
65c81f2b3f62191d044e2aa9,202401,MINISTERO DELL'ISTRUZIONE E DEL MERITO,2,IRAP,2024-02-11 00:00:00.000,,Erariali,746668422.45,6,4
668f34090377f62206882c0b,202406,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI,4,Altre voci,2024-07-11 03:01:16.866,,Varie,875.8,12,868
66e0ee64f458af54a5dbc7c6,202408,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,2,Addizionali Regionali,2024-09-11 03:01:11.704,Sud,Erariali,2587.44,7,925
668f34089b1c1405cffd2d5b,202406,ISPETTORATO NAZIONALE DEL LAVORO,2,Addizionali Comunali,2024-07-11 03:01:16.866,Nord,Erariali,125487.67,8,954
663ec5eb3f62190222cfb569,202404,ARCHIVI NOTARILI,2,IRPEF,2024-05-11 03:01:07.269,,Erariali,151295.17,5,25
6731590c568f146444a34ea2,202410,A.O.R.N. ANTONIO CARDARELLI,2,IRAP,2024-11-11 02:00:28.485,Sud,Erariali,1196365.65,6,948
65ee5ac5f458af56d2af52d9,202402,COMUNE DI CARAVAGGIO,2,Addizionali Regionali,2024-03-11 02:01:04.421,Nord,Erariali,337.27,7,964
66bf604a0377f64b679f2829,202407,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO MERIDIONALE,2,IRAP,2024-08-16 16:11:01.334,Sud,Erariali,32084.16,6,963
65c81f2bf458af1d35de6263,202401,AGENZIA NAZIONALE PER I GIOVANI - ANG,4,Ritenute Sindacali,2024-02-11 02:01:21.381,Centro,Varie,122.64,10,27
659f417d9b1c14690c5c423d,202312,AZIENDA SANITARIA LOCALE ROMA 3,3,Previdenziali a carico del datore di lavoro,2024-01-11 02:01:40.336,Sud,Previdenziali,4534925.54,13,914
